time,difference
184,0.2044627549
184.4,0.2404583794
184.8,0.2699051222
185.2,0.0804994167
185.3,0.1510248806
185.4,0.2313793706
185.6,0.1911425791
185.7,0.1021137374
186,0.1517392744
186.3,0.1587919354
186.7,0.1966105269
187.2,0.1900347439
187.4,0.1256490395
187.7,0.2559032949
188,0.1714740431
188.4,0.2324088887
188.9,0.2357692429
189.3,0.2775623611
189.8,0.2980121102
190,0.172929636
190.6,0.2360890545
190.9,0.2506812262
191.5,0.1834163611
192,0.1954455925
192.2,0.2485090917
192.5,0.0894887421
192.7,0.2105580162
193.1,0.0823705518
193.3,0.2265077274
193.5,0.0915875152
193.7,0.296407472
194.2,0.1322628375
194.7,0.1242569108
195,0.1760890071
195.5,0.1864248005
195.9,0.2395629802
196.2,0.0531787109
196.3,0.1542074327
196.6,0.2203553771
197.3,0.2505856752
197.4,0.2076957896
197.8,0.2215024594
197.9,0.1246701914
198.5,0.1028451265
198.8,0.1353868799
199.6,0.0527454036
200.2,0.0949818764
200.3,0.1494641299
200.6,0.1049796397
201,0.1376249174
201.3,0.128527427
202,0.142137842
202.1,0.2565634219
202.2,0.2015609499
202.6,0.1759032299
202.9,0.1975024121
203.1,0.2364290704
204,0.1767961093
204.3,0.1810300686
204.8,0.1785158413
205.2,0.2054932373
205.7,0.1686674869
206.2,0.1938869009
206.7,0.205127959
207,0.2209806099
207.3,0.2080282943
207.6,0.1889131479
207.9,0.1663115966
208.1,0.1570544921
208.3,0.2190646642
208.5,0.126463086
208.7,0.2032257372
208.9,0.2078326831
209,0.2217748583
209.4,0.2210422468
209.8,0.248318412
210.1,0.2537381067
210.5,0.2815521653
210.8,0.2133804063
211.1,0.2292422556
211.7,0.1822265011
211.9,0.2290669909
212.4,0.2185505801
212.7,0.2473816203
213.4,0.194533948
213.6,0.1910182081
213.7,0.2331367945
214.3,0.1814475507
214.7,0.1922442477
215,0.2000579484
215.3,0.155770851
215.6,0.1972480011
216,0.2217953159
216.3,0.2615567367
217,0.2154493819
217.7,0.1533643454
218,0.1516174924
218.3,0.1518901723
218.6,0.1823015481
218.9,0.1615970142
219.2,0.2051383016
219.6,0.1408913835
219.9,0.1750893455
220.2,0.1535514236
220.4,0.0914971638
220.8,0.0759924851
220.9,0.0887213773
221.2,0.1582638623
221.6,0.1619198831
222,0.21587162
222.6,0.1881461944
223,0.2023252015
223.1,0.0639273277
223.5,0.0952736008
224,0.2725865442
224.4,0.0743368308
224.6,0.2734240865
224.9,0.04395483
225.1,0.0824579175
225.3,0.1728125091
225.4,0.0627825642
225.7,0.0845321453
225.9,0.0824167415
226.4,0.1434861873
226.5,0.1042318815
226.8,0.1762437293
226.9,0.1016415954
227.2,0.1886203654
227.5,0.2022036698
228.1,0.0725346259
228.6,0.0326138029
228.8,0.0359258412
229,0.0727673187
229.5,0.0399187176
229.9,0.0955005473
230.3,0.1392030448
230.8,0.0909552464
230.9,0.1645574488
231.4,0.1447921334
231.6,0.0793141351
232,0.048290086
232.1,0.2811544334
232.2,0.0356428722
232.5,0.1081872382
233.4,0.046609317
233.7,0.1153188699
234.1,0.1185584207
234.7,0.0859987062
235,0.1510723416
235.4,0.174065437
235.8,0.1694913183
236.3,0.1405672695
236.4,0.1529088705
237.1,0.1220803094
237.6,0.0836848339
238.2,0.1184557908
238.4,0.1199718811
238.9,0.0726786031
239.3,0.04649324
239.5,0.1590376097
240.2,0.1126232829
240.6,0.0922633457
241,0.0496654918
241.2,0.0971310627
241.5,0.1315264168
242.1,0.0849958843
242.6,0.0945443653
242.9,0.1799535294
244.1,0.0606688193
244.3,0.0865295232
244.9,0.040774268
245.3,0.0702448885
245.7,0.0939665951
246,0.0624524699
246.6,0.0407278479
247.3,0.0577615237
247.6,0.078888728
248.2,0.0222230668
248.7,0.0264065685
249,0.0348509234
249.4,0.0893985565
250,0.067805542
250.6,0.0198538637
250.9,0.0608210094
251.6,0.038710236
